epoch,train_loss
0,0.048339
1,0.045691
2,0.041343
3,0.034387
4,0.025230
5,0.015945
6,0.008927
7,0.005237
8,0.003700
9,0.003117
10,0.002885
11,0.002777
12,0.002719
13,0.002684
14,0.002661
15,0.002646
16,0.002635
17,0.002628
18,0.002621
19,0.002616
20,0.002611
21,0.002606
22,0.002602
23,0.002597
24,0.002592
25,0.002587
26,0.002581
27,0.002575
28,0.002568
29,0.002561
30,0.002553
31,0.002544
32,0.002534
33,0.002523
34,0.002510
35,0.002497
36,0.002482
37,0.002465
38,0.002447
39,0.002426
40,0.002404
41,0.002378
42,0.002350
43,0.002315
44,0.002276
45,0.002233
46,0.002187
47,0.002137
48,0.002082
49,0.002024
